"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"06127","昭衍新藥","醫療保健","主板",100,"310.00","408.88億",,0,"5.00"
"01473","環聯連訊","電訊","主板",4000,"64.15","5.60億",0.56,0.71,"15.00"
"06606","諾輝健康－Ｂ","醫療保健","主板",500,"4133.19","111.43億",26.66,84,"2.00"
"02170","貝康醫療－Ｂ","醫療保健","主板",500,"402.80","72.96億",27.36,27.7,"10.00"
"01024","快手－Ｗ","軟件服務","主板",100,"1204.16","4724.42億",115,300,"4.00"
"02161","健倍苗苗","醫療保健","主板",2000,"22.47","10.72億",1.2,2.16,"8.00"
"02160","心通醫療－Ｂ","醫療保健","主板",1000,"769.00","288.67億",12.2,18.82,"7.50"
"06668","星盛商業","居民服務","主板",1000,"756.85","38.60億",3.86,4,"1.29"
"02159","麥迪衛康","醫療保健","主板",800,"168.75","6.00億",3,3.79,"15.00"
"09608","宋都服務","居民服務","主板",10000,"25.24","8.00億",0.25,0.16,"12.50"
"01490","網上車市","軟件服務","主板",4000,"1274.76","14.81億",1.23,1.5,"0.43"
"01643","現代中藥集團","醫療保健","主板",3000,"30.66","7.08億",1.18,1.26,"10.00"
"02125","稻草熊娛樂","影視傳媒","主板",1000,"403.54","38.99億",5.88,10.8,"6.00"
"02146","榮萬家","居民服務","主板",500,"6.62","50.61億",13.46,12.36,"18.00"
"02158","醫渡科技","軟件服務","主板",100,"1633.84","237.16億",26.3,65.2,"20.00"
"01440","DEYUN HOLDING","紡織服飾","主板",5000,"33.62","5.04億",0.4,0.415,"10.00"
"02129","LEGION CONSO","貨運物流","主板",5000,"443.37","5.00億",0.4,0.35,"1.09"
"02153","達豐設備","建筑","主板",2000,"10.30","20.19億",1.73,1.58,"10.00"
"08489","裕程物流","貨運物流","主板",5000,"35.90","2.22億",0.74,0.87,"15.26"
"01855","中邦環境","居民服務","主板",2000,"36.25","5.50億",2,2.05,"13.50"
"09600","新紐科技","軟件服務","主板",800,"446.57","34.88億",4.36,4.1,"16.00"
"01379","溫嶺工量刃具","地產","主板",500,"27.68","5.00億",6.25,6.06,"20.00"
"01945","清科創業","其他金融","主板",400,"1394.00","33.00億",11,11.6,"2.00"
"01940","CGII HLDGS","工業制造","主板",2000,"10.09","16.44億",1.37,1.62,"10.00"
"02127","匯森家居","家電家用","主板",2000,"53.40","53.10億",1.77,1.8,"20.00"
"02135","瑞麗醫美","醫療保健","主板",10000,"386.00","8.22億",0.4,0.435,"3.00"
"01167","加科思－Ｂ","醫療保健","主板",300,"299.59","106.35億",14,14.42,"15.00"
"02148","VESYNC","家電家用","主板",1000,"538.00","62.00億",5.52,8.8,"1.54"
"02131","云想科技","軟件服務","主板",1000,"114.45","55.84億",6.98,8.12,"10.00"
"06677","遠洋服務","居民服務","主板",500,"8.91","69.62億",5.88,5.85,"15.00"
"06993","藍月亮集團","紡織服飾","主板",500,"301.33","756.32億",13.16,14.88,"55.00"
"02117","大唐集團控股","地產","主板",1000,"0.76","60.80億",4.56,4.59,"100.00"
